"NOM","SIGLE"
"ABDILLAH","BDLLH"
"ABDILLAHI","BDLLH"
"ABDO","BD"
"ABDOLA","BDL"
"ABDON","BDN"
"ABDOU","BD"
"ABDOUCHE","BDCH"
"ABDOUH","BDH"
"ABDOUL","BDL"
"ABDOUL-MANINROUDINE","BDL-MNNRDN"
"ABDOULAYE","BDL"
"ABDOULHOUSSEN","BDLHSSN"
"ABDOULI","BDL"
"ABDOUN","BDN"
"ABDOUNE","BDN"
"ABDOUNI","BDN"
"ABDOURAHIM","BDRHM"
"ABDOUS","BDS"
"ABDUL","BDL"
"ABDULLAH","BDLLH"
"ABE","B"
"ABEBERRY","BBRR"
"ABECASSIS","BCSSS"
"ABECK","BCK"
"ABED","BD"
"ABEDI","BD"
"ABEEL","BL"
"ABEELE","BL"
"ABEGG","BGG"
"ABEGUILE","BGL"
"ABEHSERA","BHSR"
"ABEIL","BL"
"ABEILARD","BLRD"
"ABEILHE","BLH"
"ABEILHOU","BLH"
"ABEILLE","BLL"
"ABEILLON","BLLN"
"ABEJEAN","BJN"
"ABEL","BL"
"ABEL-COINDOZ","BL-CNDZ"
"ABELA","BL"
"ABELANET","BLNT"
"ABELARD","BLRD"
"ABELAUD","BLD"
"ABELE","BL"
"ABELES","BLS"
"ABELI","BL"
"ABELIN","BLN"
"ABELKALON","BLKLN"
"ABELLA","BLL"
"ABELLAN","BLLN"
"ABELLANEDA","BLLND"
"ABELLANET","BLLNT"
"ABELLARD","BLLRD"
"ABELLEYT","BLLT"
"ABELLI","BLL"
"ABELLO","BLL"
"ABELLON","BLLN"
"ABELLY","BLL"
"ABELS","BLS"
"ABELY","BL"
"ABEMONTI","BMNT"
"ABEMONTY","BMNT"
"ABEN","BN"
"ABENA","BN"
"ABENAQUI","BNQ"
"ABENON","BNN"
"ABENOZA","BNZ"
"ABENSOUR","BNSR"
"ABENTIN","BNTN"
"ABENZA","BNZ"
"ABENZOAR","BNZR"
"ABER","BR"
"ABERARD","BRRD"
"ABERBOUR","BRBR"
"ABERGEL","BRGL"
"ABERKAN","BRKN"
"ABERKANE","BRKN"
"ABERLEN","BRLN"
"ABERLENC","BRLNC"
"ABERLIN","BRLN"
"ABERNOT","BRNT"
"ABERT","BRT"
"ABERTH","BRTH"
"ABERTON","BRTN"
"ABES","BS"
"ABESCAT","BSCT"
"ABET","BT"
"ABEZA","BZ"
"ABFI","BF"
"ABGRAL","BGRL"
"ABGRALL","BGRLL"
"ABGRALL-ABHAMON-OLLIVIER","BGRLL-BHMN-LLVR"
"ABGUEGUEN","BGGN"
"ABGUILLERM","BGLLRM"
"ABHAMON","BHMN"
"ABHERVE","BHRV"
"ABHERVE GUEGUEN","BHRV GGN"
"ABHERVE-GUEGUEN","BHRV-GGN"
"ABHERVEGUEGUEN","BHRVGGN"
"ABI","B"
"ABIAD","BD"
"ABIAN","BN"
"ABIB","BB"
"ABIBON","BBN"
"ABIBOU","BB"
"ABICHOU","BCH"
"ABID","BD"
"ABIDA","BD"
"ABIDAL","BDL"
"ABIDALLAH","BDLLH"
"ABIDAR","BDR"
"ABIDAT","BDT"
"ABIDI","BD"
"ABIDOS","BDS"
"ABIDRI","BDR"
"ABIENSO","BNS"
"ABIER","BR"
"ABIHSSIRA","BHSSR"
"ABILA","BL"
"ABILIOU","BL"
"ABILLARD","BLLRD"
"ABILY","BL"
"ABIME","BM"
"ABIN","BN"
"ABINA","BN"
"ABINAL","BNL"
"ABIREZ","BRZ"
"ABIS","BS"
"ABISOINA","BSN"
"ABISROR","BSRR"
"ABISSE","BSS"
"ABISSET","BSST"
"ABISUR","BSR"
"ABIT","BT"
"ABITAN","BTN"
"ABITBOL","BTBL"
"ABITBOUL","BTBL"
"ABITEBOUL","BTBL"
"ABITTAN","BTTN"
"ABIVEN","BVN"
"ABIZANDA","BZND"
"ABJEAN","BJN"
"ABJEAN-UGUEN","BJN-GN"
"ABKARI","BKR"
"ABLA","BL"
"ABLAIN","BLN"
"ABLAK","BLK"
"ABLANA","BLN"
"ABLANC","BLNC"
"ABLANCOURT","BLNCRT"
"ABLAOUI","BL"
"ABLARD","BLRD"
"ABLER","BLR"
"ABLEZOT","BLZT"
"ABLIN","BLN"
"ABLINE","BLN"
"ABLITZER","BLTZR"
"ABLON","BLN"
"ABLONDI","BLND"
"ABLONET","BLNT"
"ABLOUH","BLH"
"ABMON","BMN"
"ABNER","BNR"
"ABO","B"
"ABOAB","BB"
"ABODI","BD"
"ABOEKA","BK"
"ABOIKONI","BKN"
"ABOISSIERE","BSSR"
"ABOLET","BLT"
"ABOLIVIER","BLVR"
"ABOLLIVIER","BLLVR"
"ABOMEY","BM"
"ABOMNES","BMNS"
"ABON","BN"
"ABONDANCE","BNDNC"
"ABONNAT","BNNT"
"ABONNEAU","BNN"
"ABONNEL","BNNL"
"ABONNENC","BNNNC"
"ABOR","BR"
"ABOS","BS"
"ABOSO","BS"
"ABOT","BT"
"ABOTT","BTT"
"ABOU","B"
"ABOUAF","BF"
"ABOUALI","BL"
"ABOUBACAR","BBCR"
"ABOUBAKAR","BBKR"
"ABOUBAKARI","BBKR"
"ABOUCAYA","BC"
"ABOUD","BD"
"ABOUDA","BD"
"ABOUDARAM","BDRM"
"ABOUDI","BD"
"ABOUDOU","BD"
"ABOUDRAR","BDRR"
"ABOUGIT","BGT"
"ABOUJDID","BJDD"
"ABOUKIR","BKR"
"ABOUKRAT","BKRT"
"ABOUL","BL"
"ABOULGHAZI","BLGHZ"
"ABOULICAM","BLCM"
"ABOULIN","BLN"
"ABOULINC","BLNC"
"ABOULKER","BLKR"
"ABOULKHEIR","BLKHR"
"ABOULY","BL"
"ABOUNA","BN"
"ABOUPA","BP"
"ABOUQUIR","BQR"
"ABOUR","BR"
"ABOURI","BR"
"ABOUSAID","BSD"
"ABOUT","BT"
"ABOUZIT","BZT"
"ABRACHY","BRCH"
"ABRADOR","BRDR"
"ABRAHAM","BRHM"
"ABRAHAMI","BRHM"
"ABRAHAMIAN","BRHMN"
"ABRAHAMME","BRHMM"
"ABRAHAMS","BRHMS"
"ABRAHAMSE","BRHMS"
"ABRAHAMSON","BRHMSN"
"ABRAHIM","BRHM"
"ABRAINI","BRN"
"ABRAL","BRL"
"ABRAM","BRM"
"ABRAME","BRM"
"ABRAMI","BRM"
"ABRAMO","BRM"
"ABRAMOFF","BRMFF"
"ABRAMOVICI","BRMVC"
"ABRAMOVITCH","BRMVTCH"
"ABRAMOWICZ","BRMWCZ"
"ABRAMOWITZ","BRMWTZ"
"ABRAMSKI","BRMSK"
"ABRAN","BRN"
"ABRAND","BRND"
"ABRANT","BRNT"
"ABRANTES","BRNTS"
"ABRARD","BRRD"
"ABRAS","BRS"
"ABRASSART","BRSSRT"
"ABRATE","BRT"
"ABRATKIEWICZ","BRTKWCZ"
"ABRAVANEL","BRVNL"
"ABRAZARD","BRZRD"
"ABRECHT","BRCHT"
"ABREDER","BRDR"
"ABRELL","BRLL"
"ABREO","BR"
"ABREU","BR"
"ABRIAL","BRL"
"ABRIANY","BRN"
"ABRIAT","BRT"
"ABRIBAT","BRBT"
"ABRIC","BRC"
"ABRIEL","BRL"
"ABRIET","BRT"
"ABRIEU","BR"
"ABRIEUX","BRX"
"ABRIGNANI","BRGNN"
"ABRIKH","BRKH"
"ABRIL","BRL"
"ABRILLET","BRLLT"
"ABRIN","BRN"
"ABRINO","BRN"
"ABRIOL","BRL"
"ABRIOUX","BRX"
"ABRIQUET","BRQT"
"ABRISKA","BRSK"
"ABRIVARD","BRVRD"
"ABROUGUI","BRG"
"ABROUS","BRS"
"ABROUSSE","BRSS"
"ABRUNHOSA","BRNHS"
"ABRUZZESE","BRZZS"
"ABRUZZI","BRZZ"
"ABRUZZO","BRZZ"
"ABRY","BR"
"ABRY-DURAND","BR-DRND"
"ABS","BS"
"ABSALON","BSLN"
"ABSCHEIDT","BSCHDT"
"ABSI","BS"
"ABSIL","BSL"
"ABSIN","BSN"
"ABSIRE","BSR"
"ABSOLON","BSLN"
"ABSOLONIO","BSLN"
"ABSOLU","BSL"
"ABSOUS","BSS"
"ABSYRTHE","BSRTH"
"ABSYTE","BST"
"ABT","BT"
"ABTAN","BTN"
"ABTEY","BT"
"ABUDO","BD"
"ABUFERA","BFR"
"ABY","B"
"ABYSIQUE","BSQ"
"ABYVEN","BVN"
"AC H","C H"
"AC'H","C'H"
"ACACIA","CC"
"ACACIO","CC"
"ACADINE","CDN"
"ACAMA VIRAMA","CM VRM"
"ACAMA-VIRAMA","CM-VRM"
"ACAMAS","CMS"
"ACAMER","CMR"
"ACAMPORA","CMPR"
"ACANFORA","CNFR"
"ACAPANDIE","CPND"
"ACAR","CR"
"ACARD","CRD"
"ACARDY","CRD"
"ACARI","CR"
"ACARIE","CR"
"ACARIES","CRS"
"ACARIS","CRS"
"ACART","CRT"
"ACARY","CR"
"ACAS","CS"
"ACASTE","CST"
"ACATIAPA","CTP"
"ACBARD","CBRD"
"ACCA","CC"
"ACCABAT","CCBT"
"ACCADBLED","CCDBLD"
"ACCADEBLED","CCDBLD"
"ACCAJOU","CCJ"
"ACCAMAH","CCMH"
"ACCAMBRAY","CCMBR"
"ACCARD","CCRD"
"ACCARDI","CCRD"
"ACCARDO","CCRD"
"ACCAREL","CCRL"
"ACCARIAS","CCRS"
"ACCARIE","CCR"
"ACCARIER","CCRR"
"ACCARIES","CCRS"
"ACCARION","CCRN"
"ACCART","CCRT"
"ACCARY","CCR"
"ACCASSAT","CCSST"
"ACCASSIN","CCSSN"
"ACCAULT","CCLT"
"ACCENT","CCNT"
"ACCERANI","CCRN"
"ACCES","CCS"
"ACCETTA","CCTT"
"ACCETTOLA","CCTTL"
"ACCETTONE","CCTTN"
"ACCHIARDI","CCHRD"
"ACCHIARDO","CCHRD"
"ACCIAI","CC"
"ACCIARI","CCR"
"ACCIARO","CCR"
"ACCILI","CCL"
"ACCIPE","CCP"
"ACCLEMENT","CCLMNT"
"ACCO","CC"
"ACCOCE","CCC"
"ACCOCEBERRY","CCCBRR"
"ACCOLAS","CCLS"
"ACCOLEY","CCL"
"ACCORNERO","CCRNR"
"ACCORSI","CCRS"
"ACCORSO","CCRS"
"ACCOSSANO","CCSSN"
"ACCOSSATO","CCSST"
"ACCOT","CCT"
"ACCOU","CC"
"ACCOURI","CCR"
"ACCOYER","CCR"
"ACCURSI","CCRS"
"ACCURSO","CCRS"
"ACCUS","CCS"
"ACEBES","CBS"
"ACED","CD"
"ACEDO","CD"
"ACEITUNO","CTN"
"ACELDY","CLD"
"ACELOR","CLR"
"ACEM","CM"
"ACER","CR"
"ACERBI","CRB"
"ACERBIS","CRBS"
"ACERO","CR"
"ACETI","CT"
"ACETO","CT"
"ACEVEDO","CVD"
"ACEZAT","CZT"
"ACH","CH"
"ACHA","CH"
"ACHAB","CHB"
"ACHABOUB","CHBB"
"ACHACH","CHCH"
"ACHACHE","CHCH"
"ACHACHERA","CHCHR"
"ACHAHBAR","CHHBR"
"ACHAHBOUN","CHHBN"
"ACHAIBOU","CHB"
"ACHAIN","CHN"
"ACHAINTRE","CHNTR"
"ACHALE","CHL"
"ACHALLE","CHLL"
"ACHALME","CHLM"
"ACHAMANA","CHMN"
"ACHARD","CHRD"
"ACHARD DE LA VENTE","CHRD D L VNT"
"ACHARD DE LELUARDIERE","CHRD D LLRDR"
"ACHARD-LOMBARD","CHRD-LMBRD"
"ACHARD-PICARD","CHRD-PCRD"
"ACHARI","CHR"
"ACHARKI","CHRK"
"ACHART","CHRT"
"ACHAT","CHT"
"ACHAUME","CHM"
"ACHBANI","CHBN"
"ACHBAR","CHBR"
"ACHDDOU","CHDD"
"ACHDJIAN","CHDJN"
"ACHE","CH"
"ACHEEN","CHN"
"ACHELOUS","CHLS"
"ACHEMAOUI","CHM"
"ACHENZA","CHNZ"
"ACHER","CHR"
"ACHERAY","CHR"
"ACHERCHOUR","CHRCHR"
"ACHERE","CHR"
"ACHERITEGUY","CHRTG"
"ACHERITOBEHERE","CHRTBHR"
"ACHERITOGARAY","CHRTGR"
"ACHERKI","CHRK"
"ACHERON","CHRN"
"ACHET","CHT"
