"NOM","SIGLE"
"BROUQUEYRE","BRQR"
"BROUQUI","BRQ"
"BROUQUIER","BRQR"
"BROUQUIERES","BRQRS"
"BROUQUISSE","BRQSS"
"BROUSMICHE","BRSMCH"
"BROUSOZ","BRSZ"
"BROUSSAIS","BRSSS"
"BROUSSAL","BRSSL"
"BROUSSAN","BRSSN"
"BROUSSARD","BRSSRD"
"BROUSSART","BRSSRT"
"BROUSSAS","BRSSS"
"BROUSSAT","BRSST"
"BROUSSAUD","BRSSD"
"BROUSSAUDIER","BRSSDR"
"BROUSSE","BRSS"
"BROUSSEAU","BRSS"
"BROUSSEAUD","BRSSD"
"BROUSSEGOUTTE","BRSSGTT"
"BROUSSEL","BRSSL"
"BROUSSELLE","BRSSLL"
"BROUSSELY","BRSSL"
"BROUSSES","BRSSS"
"BROUSSET","BRSST"
"BROUSSIER","BRSSR"
"BROUSSIGNAC","BRSSGNC"
"BROUSSILLON","BRSSLLN"
"BROUSSILLOU","BRSSLL"
"BROUSSIN","BRSSN"
"BROUSSOIS","BRSSS"
"BROUSSOLE","BRSSL"
"BROUSSOLLE","BRSSLL"
"BROUSSON","BRSSN"
"BROUSSOT","BRSST"
"BROUSSOU","BRSS"
"BROUSSOULOUX","BRSSLX"
"BROUSSOUS","BRSSS"
"BROUSSOUX","BRSSX"
"BROUSSY","BRSS"
"BROUST","BRST"
"BROUSTAIL","BRSTL"
"BROUSTAL","BRSTL"
"BROUSTAU","BRST"
"BROUSTAUD","BRSTD"
"BROUSTAUT","BRSTT"
"BROUSTE","BRST"
"BROUSTEAU","BRST"
"BROUSTERA","BRSTR"
"BROUSTET","BRSTT"
"BROUSTEY","BRST"
"BROUT","BRT"
"BROUTA","BRT"
"BROUTARD","BRTRD"
"BROUTCHOUX","BRTCHX"
"BROUTE","BRT"
"BROUTECHOUX","BRTCHX"
"BROUTEE","BRT"
"BROUTEELE","BRTL"
"BROUTEL","BRTL"
"BROUTELAND","BRTLND"
"BROUTET","BRTT"
"BROUTIER","BRTR"
"BROUTIN","BRTN"
"BROUTTA","BRTT"
"BROUTTE","BRTT"
"BROUTTIER","BRTTR"
"BROUTY","BRT"
"BROUWER","BRWR"
"BROUWERS","BRWRS"
"BROUWEZ","BRWZ"
"BROUX","BRX"
"BROUXEL","BRXL"
"BROUYER","BRR"
"BROUYEZ","BRZ"
"BROUZE","BRZ"
"BROUZENG-LACOUSTILLE","BRZNG-LCSTLL"
"BROUZES","BRZS"
"BROUZET","BRZT"
"BROVEDANI","BRVDN"
"BROVELLI","BRVLL"
"BROVIA","BRV"
"BROVILLE","BRVLL"
"BROWAEYS","BRWS"
"BROWANG","BRWNG"
"BROWET","BRWT"
"BROWN","BRWN"
"BROWN DE COLSTOUN","BRWN D CLSTN"
"BROWNE","BRWN"
"BROXER","BRXR"
"BROXOLLE","BRXLL"
"BROY","BR"
"BROYANT","BRNT"
"BROYARD","BRRD"
"BROYART","BRRT"
"BROYE","BR"
"BROYELLE","BRLL"
"BROYER","BRR"
"BROYET","BRT"
"BROYEZ","BRZ"
"BROYON","BRN"
"BROZ","BRZ"
"BROZA","BRZ"
"BROZE","BRZ"
"BROZEK","BRZK"
"BROZILLE","BRZLL"
"BROZYNA","BRZN"
"BROZZETTI","BRZZTT"
"BROZZI","BRZZ"
"BROZZONI","BRZZN"
"BROZZU","BRZZ"
"BRU","BR"
"BRUA","BR"
"BRUAL","BRL"
"BRUALLA","BRLL"
"BRUAND","BRND"
"BRUANDET","BRNDT"
"BRUANT","BRNT"
"BRUARD","BRRD"
"BRUARDEL","BRRDL"
"BRUAS","BRS"
"BRUASSE","BRSS"
"BRUAT","BRT"
"BRUAUX","BRX"
"BRUBACH","BRBCH"
"BRUBACHER","BRBCHR"
"BRUBALLA","BRBLL"
"BRUBAN","BRBN"
"BRUBION","BRBN"
"BRUC","BRC"
"BRUCALE","BRCL"
"BRUCATO","BRCT"
"BRUCCHERI","BRCCHR"
"BRUCCI","BRCC"
"BRUCCOLERI","BRCCLR"
"BRUCCULERI","BRCCLR"
"BRUCE","BRC"
"BRUCELLE","BRCLL"
"BRUCH","BRCH"
"BRUCHARD","BRCHRD"
"BRUCHE","BRCH"
"BRUCHEC","BRCHC"
"BRUCHER","BRCHR"
"BRUCHERT","BRCHRT"
"BRUCHET","BRCHT"
"BRUCHEZ","BRCHZ"
"BRUCHHAUSER","BRCHHSR"
"BRUCHIER","BRCHR"
"BRUCHLEN","BRCHLN"
"BRUCHMANN","BRCHMNN"
"BRUCHON","BRCHN"
"BRUCHOT","BRCHT"
"BRUCHOU","BRCH"
"BRUCK","BRCK"
"BRUCKER","BRCKR"
"BRUCKERT","BRCKRT"
"BRUCKLER","BRCKLR"
"BRUCKMANN","BRCKMNN"
"BRUCKNER","BRCKNR"
"BRUCOLI","BRCL"
"BRUCTER","BRCTR"
"BRUCY","BRC"
"BRUDENNE","BRDNN"
"BRUDER","BRDR"
"BRUDERER","BRDRR"
"BRUDERMANN","BRDRMNN"
"BRUDEY","BRD"
"BRUDI","BRD"
"BRUDIEU","BRD"
"BRUDIEUX","BRDX"
"BRUDO","BRD"
"BRUDON","BRDN"
"BRUDY","BRD"
"BRUE","BR"
"BRUEDER","BRDR"
"BRUEGGHE","BRGGH"
"BRUEL","BRL"
"BRUELLE","BRLL"
"BRUERA","BRR"
"BRUERE","BRR"
"BRUERRE","BRRR"
"BRUET","BRT"
"BRUETSCHY","BRTSCH"
"BRUEY","BR"
"BRUEYRE","BRR"
"BRUEZ","BRZ"
"BRUEZIERE","BRZR"
"BRUFFAERTS","BRFFRTS"
"BRUGAIT","BRGT"
"BRUGAL","BRGL"
"BRUGALAY","BRGL"
"BRUGALE","BRGL"
"BRUGALET","BRGLT"
"BRUGALIERES","BRGLRS"
"BRUGALLE","BRGLL"
"BRUGAT","BRGT"
"BRUGE","BRG"
"BRUGEAIL","BRGL"
"BRUGEAS","BRGS"
"BRUGEAT","BRGT"
"BRUGEAU","BRG"
"BRUGEAUD","BRGD"
"BRUGEILLE","BRGLL"
"BRUGEILLES","BRGLLS"
"BRUGEL","BRGL"
"BRUGER","BRGR"
"BRUGERAS","BRGRS"
"BRUGERE","BRGR"
"BRUGERIE","BRGR"
"BRUGEROLLE","BRGRLL"
"BRUGEROLLE DE FRAISSINETTE","BRGRLL D FRSSNTT"
"BRUGEROLLES","BRGRLLS"
"BRUGERON","BRGRN"
"BRUGES","BRGS"
"BRUGET","BRGT"
"BRUGEVIN","BRGVN"
"BRUGGEMAN","BRGGMN"
"BRUGGEMANN","BRGGMNN"
"BRUGGER","BRGGR"
"BRUGGHE","BRGGH"
"BRUGGMANN","BRGGMNN"
"BRUGHEAT","BRGHT"
"BRUGHERA","BRGHR"
"BRUGIDOU","BRGD"
"BRUGIE","BRG"
"BRUGIER","BRGR"
"BRUGIERE","BRGR"
"BRUGIEREGARDE","BRGRGRD"
"BRUGIERES","BRGRS"
"BRUGIONI","BRGN"
"BRUGIOTI","BRGT"
"BRUGIOTTI","BRGTT"
"BRUGIRARD","BRGRRD"
"BRUGIROUX","BRGRX"
"BRUGNACCHI","BRGNCCH"
"BRUGNARA","BRGNR"
"BRUGNAUX","BRGNX"
"BRUGNE","BRGN"
"BRUGNEAUX","BRGNX"
"BRUGNERA","BRGNR"
"BRUGNET","BRGNT"
"BRUGNETTI","BRGNTT"
"BRUGNIAU","BRGN"
"BRUGNIAUD","BRGND"
"BRUGNIAUX","BRGNX"
"BRUGNIEAUX","BRGNX"
"BRUGNIEL","BRGNL"
"BRUGNIERE","BRGNR"
"BRUGNOLI","BRGNL"
"BRUGNON","BRGNN"
"BRUGNONE","BRGNN"
"BRUGNONI","BRGNN"
"BRUGNOT","BRGNT"
"BRUGNY","BRGN"
"BRUGON","BRGN"
"BRUGOT","BRGT"
"BRUGOUX","BRGX"
"BRUGUE","BRG"
"BRUGUERA","BRGR"
"BRUGUEROLLE","BRGRLL"
"BRUGUES","BRGS"
"BRUGUET","BRGT"
"BRUGUIER","BRGR"
"BRUGUIERE","BRGR"
"BRUGUIERES","BRGRS"
"BRUGVIN","BRGVN"
"BRUHAIS","BRHS"
"BRUHAMMER","BRHMMR"
"BRUHAN","BRHN"
"BRUHAT","BRHT"
"BRUHAUX","BRHX"
"BRUHAY","BRH"
"BRUHE","BRH"
"BRUHIER","BRHR"
"BRUHIERE","BRHR"
"BRUHIN","BRHN"
"BRUHL","BRHL"
"BRUHY","BRH"
"BRUIANT","BRNT"
"BRUIET","BRT"
"BRUIGE","BRG"
"BRUILLARD","BRLLRD"
"BRUILLON","BRLLN"
"BRUILLOT","BRLLT"
"BRUIMAUD","BRMD"
"BRUIN","BRN"
"BRUINAUD","BRND"
"BRUIS","BRS"
"BRUISSE","BRSS"
"BRUISSON","BRSSN"
"BRUIT","BRT"
"BRUITTE","BRTT"
"BRUIX","BRX"
"BRUJAILLE-LATOUR","BRJLL-LTR"
"BRUJAN","BRJN"
"BRUJAS","BRJS"
"BRUJAUD","BRJD"
"BRUJEAN","BRJN"
"BRUL","BRL"
"BRULAIRE","BRLR"
"BRULAIS","BRLS"
"BRULANT","BRLNT"
"BRULARD","BRLRD"
"BRULAS","BRLS"
"BRULAT","BRLT"
"BRULATOUT","BRLTT"
"BRULAUD","BRLD"
"BRULAY","BRL"
"BRULBAULT","BRLBLT"
"BRULE","BRL"
"BRULEAU","BRL"
"BRULEBOIS","BRLBS"
"BRULEFERT","BRLFRT"
"BRULEPORT","BRLPRT"
"BRULER","BRLR"
"BRULET","BRLT"
"BRULETOURTE","BRLTRT"
"BRULETOUT","BRLTT"
"BRULEY","BRL"
"BRULEZ","BRLZ"
"BRULFER","BRLFR"
"BRULFERT","BRLFRT"
"BRULHARD","BRLHRD"
"BRULHART","BRLHRT"
"BRULHET","BRLHT"
"BRULIARD","BRLRD"
"BRULIN","BRLN"
"BRULL","BRLL"
"BRULLAND","BRLLND"
"BRULLARD","BRLLRD"
"BRULLE","BRLL"
"BRULLEBAUT","BRLLBT"
"BRULLEFERT","BRLLFRT"
"BRULLEZ","BRLLZ"
"BRULLIARD","BRLLRD"
"BRULLON","BRLLN"
"BRULLOT","BRLLT"
"BRULOIS","BRLS"
"BRULON","BRLN"
"BRULPORT","BRLPRT"
"BRULTEY","BRLT"
"BRULU","BRL"
"BRUM","BRM"
"BRUMACHON","BRMCHN"
"BRUMAIN","BRMN"
"BRUMAN","BRMN"
"BRUMANT","BRMNT"
"BRUMARD","BRMRD"
"BRUMAS","BRMS"
"BRUMAUD","BRMD"
"BRUMBT","BRMBT"
"BRUMEAU","BRM"
"BRUMELOT","BRMLT"
"BRUMENT","BRMNT"
"BRUMFROY","BRMFR"
"BRUMIER","BRMR"
"BRUMM","BRMM"
"BRUMON","BRMN"
"BRUMONT","BRMNT"
"BRUMPT","BRMPT"
"BRUMPTER","BRMPTR"
"BRUMTER","BRMTR"
"BRUN","BRN"
"BRUN-BARONNAT","BRN-BRNNT"
"BRUN-BERTHET","BRN-BRTHT"
"BRUN-BUISSON","BRN-BSSN"
"BRUN-COSME","BRN-CSM"
"BRUN-COSME-BRUNY","BRN-CSM-BRN"
"BRUN-COSME-GAZOT","BRN-CSM-GZT"
"BRUN-GAILLAND","BRN-GLLND"
"BRUN-PICARD","BRN-PCRD"
"BRUNA","BRN"
"BRUNA-ROSSO","BRN-RSS"
"BRUNACCI","BRNCC"
"BRUNACHE","BRNCH"
"BRUNAGEL","BRNGL"
"BRUNAND","BRNND"
"BRUNANT","BRNNT"
"BRUNARD","BRNRD"
"BRUNAS","BRNS"
"BRUNAT","BRNT"
"BRUNATI","BRNT"
"BRUNATO","BRNT"
"BRUNATTO","BRNTT"
"BRUNAU","BRN"
"BRUNAUD","BRND"
"BRUNAULT","BRNLT"
"BRUNAUT","BRNT"
"BRUNAUX","BRNX"
"BRUNAZ","BRNZ"
"BRUNAZZI","BRNZZ"
"BRUNBROUCK","BRNBRCK"
"BRUNCHER","BRNCHR"
"BRUNCK","BRNCK"
"BRUNCLAIRE","BRNCLR"
"BRUNDALER","BRNDLR"
"BRUNDALLER","BRNDLLR"
"BRUNDEL","BRNDL"
"BRUNDET","BRNDT"
"BRUNDO","BRND"
"BRUNDU","BRND"
"BRUNE","BRN"
"BRUNEAU","BRN"
"BRUNEAU DE LA SALLE","BRN D L SLL"
"BRUNEAUD","BRND"
"BRUNEAUX","BRNX"
"BRUNEBARBE","BRNBRB"
"BRUNED","BRND"
"BRUNEE","BRN"
"BRUNEEL","BRNL"
"BRUNEHAUT","BRNHT"
"BRUNEL","BRNL"
"BRUNELEAU","BRNL"
"BRUNELET","BRNLT"
"BRUNELIERE","BRNLR"
"BRUNELIN","BRNLN"
"BRUNELLA","BRNLL"
"BRUNELLE","BRNLL"
"BRUNELLES","BRNLLS"
"BRUNELLI","BRNLL"
"BRUNELLIERE","BRNLLR"
"BRUNELLO","BRNLL"
"BRUNELOT","BRNLT"
"BRUNEMER","BRNMR"
"BRUNEN","BRNN"
"BRUNENGO","BRNNG"
"BRUNER","BRNR"
"BRUNEREAU","BRNR"
"BRUNERIE","BRNR"
"BRUNERO","BRNR"
"BRUNESSAUX","BRNSSX"
"BRUNET","BRNT"
"BRUNET DE LA CHARIE","BRNT D L CHR"
"BRUNET-DEBAINES","BRNT-DBNS"
"BRUNET-DUNAND","BRNT-DNND"
"BRUNET-JAILLY","BRNT-JLL"
"BRUNET-LECOMTE","BRNT-LCMT"
"BRUNET-MANQUAT","BRNT-MNQT"
"BRUNET-MANQUAT-PERRACHE","BRNT-MNQT-PRRCH"
"BRUNETAUD","BRNTD"
"BRUNETEAU","BRNT"
"BRUNETEAUD","BRNTD"
"BRUNETEAUX","BRNTX"
"BRUNETIER","BRNTR"
"BRUNETIERE","BRNTR"
"BRUNETON","BRNTN"
"BRUNETOT","BRNTT"
"BRUNETTA","BRNTT"
"BRUNETTE","BRNTT"
"BRUNETTI","BRNTT"
"BRUNETTO","BRNTT"
"BRUNETTON","BRNTTN"
"BRUNEVAL","BRNVL"
"BRUNEZ","BRNZ"
"BRUNFAUT","BRNFT"
"BRUNG","BRNG"
"BRUNGARD","BRNGRD"
"BRUNHES","BRNHS"
"BRUNI","BRN"
"BRUNIAS","BRNS"
"BRUNIAU","BRN"
"BRUNIAUX","BRNX"
"BRUNIE","BRN"
"BRUNIER","BRNR"
"BRUNIER-COULIN","BRNR-CLN"
"BRUNIERA","BRNR"
"BRUNIERE","BRNR"
"BRUNIES","BRNS"
"BRUNIN","BRNN"
"BRUNING","BRNNG"
"BRUNINI","BRNN"
"BRUNIQUEL","BRNQL"
"BRUNIQUET","BRNQT"
"BRUNISHOLZ","BRNSHLZ"
"BRUNISSEN","BRNSSN"
"BRUNJAIL","BRNJL"
"BRUNN","BRNN"
"BRUNNENGREBER","BRNNNGRBR"
"BRUNNENKANT","BRNNNKNT"
"BRUNNENSTEIN","BRNNNSTN"
"BRUNNER","BRNNR"
"BRUNNEVAL","BRNNVL"
"BRUNNIN","BRNNN"
"BRUNO","BRN"
"BRUNO-MIGNOT","BRN-MGNT"
"BRUNOD","BRND"
"BRUNOIR","BRNR"
"BRUNOIS","BRNS"
"BRUNOL","BRNL"
"BRUNOLD","BRNLD"
"BRUNON","BRNN"
"BRUNONE","BRNN"
"BRUNONI","BRNN"
"BRUNORI","BRNR"
"BRUNORO","BRNR"
"BRUNOT","BRNT"
"BRUNOU","BRN"
"BRUNOY","BRN"
"BRUNOY-TOCNAY","BRN-TCN"
"BRUNS","BRNS"
"BRUNSCHWIG","BRNSCHWG"
"BRUNSCHWILLER","BRNSCHWLLR"
"BRUNSMANN","BRNSMNN"
"BRUNSO","BRNS"
"BRUNSON","BRNSN"
"BRUNSPERGER","BRNSPRGR"
"BRUNSTEIN","BRNSTN"
"BRUNSWICK","BRNSWCK"
"BRUNTZ","BRNTZ"
"BRUNY","BRN"
"BRUNZIN","BRNZN"
"BRUON","BRN"
"BRUOT","BRT"
"BRUPPACHER","BRPPCHR"
"BRUREAU","BRR"
"BRUS","BRS"
"BRUSA","BRS"
"BRUSACORAM","BRSCRM"
"BRUSADELLI","BRSDLL"
"BRUSAU","BRS"
"BRUSC","BRSC"
"BRUSCA","BRSC"
"BRUSCAND","BRSCND"
"BRUSCHERA","BRSCHR"
"BRUSCHET","BRSCHT"
"BRUSCHETTA","BRSCHTT"
"BRUSCHI","BRSCH"
"BRUSCHINI","BRSCHN"
"BRUSCIA","BRSC"
"BRUSCO","BRSC"
"BRUSCOLI","BRSCL"
"BRUSCOLINI","BRSCLN"
"BRUSEL","BRSL"
"BRUSETTI","BRSTT"
"BRUSIN","BRSN"
"BRUSINI","BRSN"
"BRUSLE","BRSL"
"BRUSON","BRSN"
"BRUSORIO","BRSR"
"BRUSQ","BRSQ"
"BRUSQUAND","BRSQND"
"BRUSQUE","BRSQ"
"BRUSQUES","BRSQS"
"BRUSQUET","BRSQT"
"BRUSQUIN","BRSQN"
"BRUSS","BRSS"
"BRUSSAC","BRSSC"
"BRUSSART","BRSSRT"
"BRUSSAT","BRSST"
"BRUSSAUT","BRSST"
"BRUSSE","BRSS"
"BRUSSEAU","BRSS"
"BRUSSEAUX","BRSSX"
"BRUSSEEL","BRSSL"
"BRUSSEL","BRSSL"
"BRUSSELLE","BRSSLL"
"BRUSSELLES","BRSSLLS"
"BRUSSET","BRSST"
"BRUSSEY","BRSS"
"BRUSSIER","BRSSR"
"BRUSSIEUX","BRSSX"
"BRUSSIN","BRSSN"
"BRUSSOL","BRSSL"
"BRUSSOLO","BRSSL"
"BRUSSON","BRSSN"
"BRUSSOT","BRSST"
"BRUSSOZ","BRSSZ"
"BRUST","BRST"
"BRUSTEL","BRSTL"
"BRUSTET","BRSTT"
"BRUSTIEC","BRSTC"
"BRUSTIER","BRSTR"
"BRUSTIS","BRSTS"
"BRUSTLE","BRSTL"
"BRUSTLEIN","BRSTLN"
"BRUSTOLIN","BRSTLN"
"BRUSTON","BRSTN"
"BRUT","BRT"
"BRUTAILS","BRTLS"
"BRUTE","BRT"
"BRUTE DE REMUR","BRT D RMR"
"BRUTEL","BRTL"
"BRUTELLE","BRTLL"
"BRUTEUL","BRTL"
"BRUTEYN","BRTN"
"BRUTH","BRTH"
"BRUTHIAUX","BRTHX"
"BRUTIER","BRTR"
"BRUTILLOT","BRTLLT"
"BRUTIN","BRTN"
"BRUTINEL","BRTNL"
"BRUTINOT","BRTNT"
"BRUTO","BRT"
"BRUTOUT","BRTT"
"BRUTSAERT","BRTSRT"
"BRUTSCHI","BRTSCH"
"BRUTTE","BRTT"
"BRUTTI","BRTT"
"BRUTTO","BRTT"
"BRUTUS","BRTS"
"BRUVIER","BRVR"
"BRUVRIS","BRVRS"
"BRUVRY","BRVR"
"BRUWAERT","BRWRT"
"BRUWIER","BRWR"
"BRUX","BRX"
"BRUXELLE","BRXLL"
"BRUXELLES","BRXLLS"
"BRUXER","BRXR"
"BRUY","BR"
"BRUYAND","BRND"
"BRUYANT","BRNT"
"BRUYAS","BRS"
"BRUYAT","BRT"
"BRUYCHE","BRCH"
"BRUYELLE","BRLL"
"BRUYEN","BRN"
"BRUYENNE","BRNN"
"BRUYER","BRR"
"BRUYERE","BRR"
"BRUYERES","BRRS"
"BRUYERON","BRRN"
"BRUYERRE","BRRR"
"BRUYET","BRT"
"BRUYEZ","BRZ"
"BRUYNEEL","BRNL"
"BRUYNEL","BRNL"
"BRUYNINCKX","BRNNCKX"
"BRUYNOOGHE","BRNGH"
"BRUYNSWYCK","BRNSWCK"
"BRUZAC","BRZC"
"BRUZAILLES","BRZLLS"
"BRUZAT","BRZT"
"BRUZAU","BRZ"
"BRUZAUD","BRZD"
"BRUZEAU","BRZ"
"BRUZI","BRZ"
"BRUZIAUX","BRZX"
"BRUZON","BRZN"
"BRUZY","BRZ"
"BRUZZESE","BRZZS"
"BRUZZI","BRZZ"
"BRUZZO","BRZZ"
"BRUZZONE","BRZZN"
"BRY","BR"
"BRYAN","BRN"
"BRYAND","BRND"
"BRYANT","BRNT"
"BRYARD","BRRD"
"BRYCH","BRCH"
"BRYCHCY","BRCHC"
"BRYCHE","BRCH"
"BRYCKAERT","BRCKRT"
"BRYE","BR"
"BRYER","BRR"
"BRYERE","BRR"
"BRYGIER","BRGR"
"BRYGO","BRG"
"BRYJA","BRJ"
"BRYK","BRK"
"BRYKAJLO","BRKJL"
"BRYL","BRL"
"BRYLA","BRL"
"BRYLAK","BRLK"
"BRYLINSKI","BRLNSK"
"BRYLKA","BRLK"
"BRYNAERT","BRNRT"
"BRYNDZA","BRNDZ"
"BRYON","BRN"
"BRYONE","BRN"
"BRYS","BRS"
"BRYSBAERT","BRSBRT"
"BRYSELBOUT","BRSLBT"
"BRYSSE","BRSS"
"BRYSSENS","BRSSNS"
"BRZAKOWSKI","BRZKWSK"
"BRZESKI","BRZSK"
"BRZEZICKI","BRZZCK"
"BRZEZINSKI","BRZZNSK"
"BRZOSKA","BRZSK"
"BRZOZA","BRZZ"
"BRZOZOWSKI","BRZZWSK"
"BRZUSTOWSKI","BRZSTWSK"
"BSIKRI","BSKR"
"BU","B"
"BUA","B"
"BUACHE","BCH"
"BUADES","BDS"
"BUAILLON","BLLN"
"BUAIN","BN"
"BUAIS","BS"
"BUALE","BL"
"BUALLION","BLLN"
"BUAN","BN"
"BUAND","BND"
"BUANEC","BNC"
"BUANIC","BNC"
"BUANNEC","BNNC"
"BUANNIC","BNNC"
"BUANT","BNT"
"BUARD","BRD"
"BUARE","BR"
"BUART","BRT"
"BUAT","BT"
"BUATHIER","BTHR"
"BUATIER","BTR"
"BUATOIS","BTS"
"BUAUD","BD"
"BUAZ","BZ"
"BUB","BB"
"BUBA","BB"
"BUBBE","BBB"
"BUBEL","BBL"
"BUBENDORF","BBNDRF"
"BUBENDORFF","BBNDRFF"
"BUBLEX","BBLX"
"BUBOLA","BBL"
"BUC","BC"
"BUCAILLE","BCLL"
"BUCAIONI","BCN"
"BUCAMP","BCMP"
"BUCARD","BCRD"
"BUCARI","BCR"
"BUCAS","BCS"
"BUCAU","BC"
"BUCCAFURRI","BCCFRR"
"BUCCELLATO","BCCLLT"
"BUCCHERI","BCCHR"
"BUCCHI","BCCH"
"BUCCHIANERI","BCCHNR"
"BUCCHINI","BCCHN"
"BUCCHIONI","BCCHN"
"BUCCHIOTTY","BCCHTT"
"BUCCI","BCC"
"BUCCIARELLI","BCCRLL"
"BUCCIERO","BCCR"
"BUCCINO","BCCN"
"BUCCIO","BCC"
"BUCCIOL","BCCL"
"BUCCO","BCC"
"BUCELET","BCLT"
"BUCELLE","BCLL"
"BUCELLONI","BCLLN"
"BUCH","BCH"
"BUCHACA","BCHC"
"BUCHAILLARD","BCHLLRD"
"BUCHAILLAT","BCHLLT"
"BUCHAILLE","BCHLL"
"BUCHAILLET","BCHLLT"
"BUCHAILLOT","BCHLLT"
"BUCHALET","BCHLT"
"BUCHALLET","BCHLLT"
"BUCHALSKI","BCHLSK"
"BUCHANIEC","BCHNC"
"BUCHARD","BCHRD"
"BUCHARLES","BCHRLS"
"BUCHART","BCHRT"
"BUCHAUD","BCHD"
"BUCHAUDON","BCHDN"
"BUCHAULT","BCHLT"
"BUCHBERGER","BCHBRGR"
"BUCHBINDER","BCHBNDR"
"BUCHE","BCH"
"BUCHEL","BCHL"
"BUCHELE","BCHL"
"BUCHELET","BCHLT"
"BUCHEMEYER","BCHMR"
"BUCHENET","BCHNT"
"BUCHENS","BCHNS"
"BUCHER","BCHR"
"BUCHERAUD","BCHRD"
"BUCHERE","BCHR"
"BUCHERIE","BCHR"
"BUCHERON","BCHRN"
"BUCHERT","BCHRT"
"BUCHET","BCHT"
"BUCHETON","BCHTN"
"BUCHETTE","BCHTT"
"BUCHEZ","BCHZ"
"BUCHHEIT","BCHHT"
"BUCHHOLTZ","BCHHLTZ"
"BUCHHOLTZER","BCHHLTZR"
"BUCHHOLZ","BCHHLZ"
"BUCHHOLZER","BCHHLZR"
"BUCHI","BCH"
"BUCHILLET","BCHLLT"
"BUCHILLOT","BCHLLT"
"BUCHIN","BCHN"
"BUCHINGER","BCHNGR"
"BUCHLE","BCHL"
"BUCHLER","BCHLR"
"BUCHLIN","BCHLN"
"BUCHMANN","BCHMNN"
"BUCHMULLER","BCHMLLR"
"BUCHNER","BCHNR"
"BUCHOLZ","BCHLZ"
"BUCHOLZER","BCHLZR"
"BUCHON","BCHN"
"BUCHONNET","BCHNNT"
"BUCHOT","BCHT"
"BUCHOU","BCH"
"BUCHOUL","BCHL"
"BUCHOUX","BCHX"
"BUCHS","BCHS"
"BUCHSBAUM","BCHSBM"
"BUCHSENSCHUTZ","BCHSNSCHTZ"
"BUCHTA","BCHT"
"BUCHTER","BCHTR"
"BUCHWALD","BCHWLD"
"BUCHWALDER","BCHWLDR"
"BUCHWALTER","BCHWLTR"
"BUCHWEILLER","BCHWLLR"
"BUCHY","BCH"
"BUCILLAT","BCLLT"
"BUCILLIAT","BCLLT"
"BUCK","BCK"
"BUCKEL","BCKL"
"BUCKENMEIER","BCKNMR"
"BUCKENMEYER","BCKNMR"
"BUCKENS","BCKNS"
"BUCKET","BCKT"
"BUCKI","BCK"
"BUCKLEY","BCKL"
"BUCKMAN","BCKMN"
"BUCKO","BCK"
"BUCLET","BCLT"
"BUCLEZ","BCLZ"
"BUCLIER","BCLR"
"BUCLON","BCLN"
"BUCOURT","BCRT"
"BUCOVAZ","BCVZ"
"BUCQUET","BCQT"
"BUCQUOY","BCQ"
"BUCY","BC"
"BUCZEK","BCZK"
"BUCZINSKI","BCZNSK"
"BUCZKO","BCZK"
"BUCZKOWSKI","BCZKWSK"
"BUCZYNSKI","BCZNSK"
"BUDA","BD"
"BUDAI","BD"
"BUDAIL","BDL"
"BUDAIN","BDN"
"BUDAK","BDK"
"BUDAN","BDN"
"BUDAN DE RUSSE","BDN D RSS"
"BUDANT","BDNT"
"BUDE","BD"
"BUDEL","BDL"
"BUDELOT","BDLT"
"BUDENHULZER","BDNHLZR"
"BUDES","BDS"
"BUDET","BDT"
"BUDILLON","BDLLN"
"BUDILLON-RABATEL","BDLLN-RBTL"
"BUDIN","BDN"
"BUDINGER","BDNGR"
"BUDKA","BDK"
"BUDNA","BDN"
"BUDNIEWSKI","BDNWSK"
"BUDNIK","BDNK"
"BUDNY","BDN"
"BUDO","BD"
"BUDOC","BDC"
"BUDON","BDN"
"BUDOR","BDR"
"BUDRIA","BDR"
"BUDRONI","BDRN"
"BUDYNEK","BDNK"
"BUDZIAK","BDZK"
"BUDZIK","BDZK"
"BUDZINSKI","BDZNSK"
"BUDZYN","BDZN"
"BUDZYNOWSKI","BDZNWSK"
"BUDZYNSKI","BDZNSK"
"BUE","B"
"BUEB","BB"
"BUECHE","BCH"
"BUECHELER","BCHLR"
"BUECHER","BCHR"
"BUECHLER","BCHLR"
"BUEE","B"
"BUEIL","BL"
"BUELENS","BLNS"
"BUELLET","BLLT"
"BUEMI","BM"
"BUENAFUENTE","BNFNT"
"BUENAVENTES","BNVNTS"
"BUENDIA","BND"
"BUENERD","BNRD"
"BUENO","BN"
"BUER","BR"
"BUERA","BR"
"BUERBA","BRB"
"BUERI","BR"
"BUERLE","BRL"
"BUERMANN","BRMNN"
"BUES","BS"
"BUESA","BS"
"BUESO","BS"
"BUESSARD","BSSRD"
"BUESSINGER","BSSNGR"
"BUESSLER","BSSLR"
"BUET","BT"
"BUETAS","BTS"
"BUEVOZ","BVZ"
"BUEWAERT","BWRT"
"BUEY","B"
"BUEZ","BZ"
"BUF","BF"
"BUFALINI","BFLN"
"BUFALO","BFL"
"BUFARD","BFRD"
"BUFARULL","BFRLL"
"BUFERNE","BFRN"
"BUFETEAU","BFT"
"BUFF","BFF"
"BUFFA","BFF"
"BUFFALAN","BFFLN"
